,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful Raid Percentage,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super Raids,Super 10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super Tackles,High 5s
144,Amit Kumar,All Rounder,"Jan 1, 1970",Puneri Paltan,-,India,-,6.0,18.0,5.0,60.6,33.0,9.0,13.0,11.0,48.48,9.0,7.0,16.0,0.0,0.0,2.0,1.0,1.0,0.16,0.0,100.0,1.0,0.0
145,Sagar B,All Rounder,"Sep 28, 1991",Puneri Paltan,5 ft 11 in,India,75 kg,12.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,19.0,0.91,0.0,46.66,3.0,1.0
146,Sandeep,All Rounder,"Jan 1, 1970",Puneri Paltan,6 ft,India,86 kg,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,2.0,0.0,33.33,0.0,0.0
147,Ajay Thakur,Raider,"May 1, 1986",Tamil Thalaivas,6 ft 1 in,India,84.3 kg,13.0,58.0,11.0,74.85,171.0,47.0,43.0,81.0,33.91,52.0,6.0,58.0,2.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
148,Anand,Raider,"Apr 23, 1998",Tamil Thalaivas,5 ft 10 in,India,70 kg,5.0,6.0,4.0,61.53,13.0,3.0,5.0,5.0,46.15,5.0,1.0,6.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
149,Rahul Chaudhari,Raider,"Jun 16, 1993",Tamil Thalaivas,6 ft,India,81.3 kg,20.0,126.0,14.0,72.31,289.0,97.0,80.0,112.0,40.83,89.0,29.0,118.0,0.0,4.0,28.0,8.0,20.0,0.4,0.0,28.57,0.0,0.0
150,Shabeer Bappu,Raider,"Aug 3, 1986",Tamil Thalaivas,5 ft 11 in,India,84.4 kg,14.0,29.0,5.0,87.09,93.0,17.0,12.0,64.0,23.65,13.0,9.0,22.0,0.0,0.0,22.0,6.0,16.0,0.42,0.0,31.81,1.0,0.0
151,V. Ajith,Raider,"Jul 15, 1998",Tamil Thalaivas,5 ft 9 in,India,70.6 kg,17.0,107.0,18.0,70.43,186.0,89.0,55.0,42.0,57.52,91.0,16.0,107.0,1.0,4.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
152,Vineet Sharma,Raider,"Jan 10, 1990",Tamil Thalaivas,6 ft,India,84.4 kg,11.0,16.0,5.0,68.42,19.0,3.0,6.0,10.0,47.36,3.0,6.0,9.0,0.0,0.0,14.0,6.0,8.0,0.54,0.0,50.0,1.0,0.0
153,Yashwant Bishnoi,Raider,"Feb 10, 2000",Tamil Thalaivas,6 ft 3 in,India,76 kg,3.0,2.0,2.0,55.55,9.0,2.0,4.0,3.0,22.22,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
154,Ajeet,"Defender, right cover","Sep 4, 1994",Tamil Thalaivas,6 ft,India,85 kg,14.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,13.0,38.0,0.92,0.0,27.45,1.0,0.0
155,M. Abishek,"Defender, right cover","Jan 8, 2001",Tamil Thalaivas,5 ft 6 in,India,76.8 kg,7.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.0,21.0,1.57,0.0,34.37,0.0,0.0
156,Ponparthiban Subramanian,"Defender, right cover","Jan 1, 1970",Tamil Thalaivas,-,India,-,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,12.0,0.42,0.0,20.0,0.0,0.0
157,Himanshu,"Defender, right corner","Dec 18, 2000",Tamil Thalaivas,6 ft,India,74.9 kg,3.0,3.0,3.0,66.66,3.0,1.0,1.0,1.0,66.66,2.0,0.0,2.0,0.0,0.0,5.0,1.0,4.0,0.33,0.0,20.0,0.0,0.0
158,Mohit Chhillar,"Defender, right corner","Jul 13, 1993",Tamil Thalaivas,5 ft 11 in,India,77 kg,18.0,37.0,5.0,100.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,34.0,47.0,1.88,0.0,45.67,3.0,1.0
159,Sagar,"Defender, right corner","Jan 1, 1970",Tamil Thalaivas,-,India,-,11.0,13.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,15.0,1.09,0.0,48.14,1.0,0.0
160,Mohammad Arif,"Defender, left corner","May 3, 1992",Tamil Thalaivas,5 ft 10 in,Bangladesh,72 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Hemant Chauhan,All Rounder,"Jan 1, 1970",Tamil Thalaivas,-,India,-,3.0,2.0,2.0,83.33,6.0,1.0,1.0,4.0,16.66,1.0,0.0,1.0,0.0,0.0,7.0,1.0,6.0,0.33,0.0,14.28,0.0,0.0
162,Manjeet Chhillar,All Rounder,"Aug 18, 1986",Tamil Thalaivas,5 ft 9 in,India,80 kg,15.0,41.0,6.0,68.42,19.0,0.0,6.0,13.0,21.05,0.0,4.0,4.0,0.0,0.0,81.0,35.0,46.0,2.33,0.0,45.67,2.0,2.0
163,Ran Singh,All Rounder,"Apr 2, 1987",Tamil Thalaivas,5 ft 11 in,India,82.7 kg,19.0,39.0,4.0,71.42,14.0,5.0,4.0,5.0,64.28,4.0,5.0,9.0,0.0,0.0,69.0,29.0,40.0,1.52,0.0,43.47,1.0,0.0
164,Victor Onyango,All Rounder,"Jan 29, 2000",Tamil Thalaivas,6 ft,Kenya,-,3.0,8.0,5.0,75.0,8.0,4.0,2.0,2.0,75.0,3.0,3.0,6.0,0.0,0.0,5.0,1.0,4.0,0.33,0.0,40.0,1.0,0.0
165,Abozar Mohajermighani,Defender,"May 19, 1989",Telugu Titans,5 ft 9 in,Iran,83 kg,18.0,40.0,5.0,66.66,6.0,0.0,2.0,4.0,16.66,0.0,1.0,1.0,0.0,0.0,87.0,36.0,51.0,2.0,0.0,44.82,3.0,1.0
166,Amit Kumar,Raider,"Mar 7, 1990",Telugu Titans,5 ft 11 in,India,80 kg,9.0,13.0,3.0,93.61,47.0,2.0,3.0,42.0,6.38,2.0,1.0,3.0,0.0,0.0,21.0,8.0,13.0,0.88,0.0,47.61,2.0,0.0
167,Ankit Beniwal,Raider,"Feb 14, 1999",Telugu Titans,5 ft 11 in,India,72 kg,6.0,8.0,2.0,52.94,17.0,5.0,8.0,4.0,41.17,5.0,2.0,7.0,0.0,0.0,2.0,1.0,1.0,0.16,0.0,50.0,0.0,0.0
168,Kamal Singh,Raider,"Aug 2, 1998",Telugu Titans,5 ft 9 in,India,73 kg,3.0,2.0,2.0,75.0,8.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.66,0.0,33.33,0.0,0.0
169,Mula Siva,Raider,"Mar 5, 1999",Telugu Titans,5 ft 11 in,India,82 kg,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Palle Mallikarjun,Raider,"Jun 15, 1993",Telugu Titans,-,India,-,3.0,2.0,1.0,50.0,10.0,2.0,5.0,3.0,20.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
171,Rajnish,Raider,"Aug 25, 1998",Telugu Titans,6 ft,India,75 kg,10.0,45.0,11.0,77.52,89.0,31.0,20.0,38.0,48.31,27.0,16.0,43.0,1.0,2.0,7.0,2.0,5.0,0.2,0.0,28.57,0.0,0.0
172,Rakesh Gowda,Raider,"Nov 8, 1999",Telugu Titans,6 ft 3 in,India,73 kg,9.0,31.0,7.0,83.33,60.0,20.0,10.0,30.0,36.66,11.0,11.0,22.0,0.0,0.0,18.0,6.0,12.0,0.66,0.0,50.0,3.0,0.0
173,Siddharth Sirish,Raider,"Dec 5, 1991",Telugu Titans,6 ft 2 in,India,-,18.0,177.0,23.0,72.79,272.0,143.0,74.0,55.0,63.97,132.0,42.0,174.0,6.0,7.0,6.0,3.0,3.0,0.16,0.0,50.0,0.0,0.0
174,Suraj Desai,Raider,"Jul 19, 1989",Telugu Titans,6 ft,India,83 kg,12.0,45.0,18.0,69.9,103.0,35.0,31.0,37.0,42.71,28.0,16.0,44.0,1.0,1.0,7.0,1.0,6.0,0.08,0.0,14.28,0.0,0.0
175,Aakash Dattu,"Defender, right cover","Jan 1, 1970",Telugu Titans,-,India,-,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
176,Akash Choudhary,"Defender, right corner","Jul 1, 1998",Telugu Titans,5 ft 8 in,India,71.6 kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
177,Manish,"Defender, left cover","Apr 10, 1998",Telugu Titans,5 ft 6 in,India,73 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,C. Arun,"Defender, left corner","Mar 5, 1993",Telugu Titans,5 ft 5 in,India,68.6 kg,18.0,23.0,6.0,100.0,3.0,1.0,0.0,2.0,66.66,1.0,1.0,2.0,0.0,0.0,59.0,18.0,41.0,1.0,0.0,35.59,3.0,1.0
179,Krushna Madane,Defender,"Jan 16, 1998",Telugu Titans,5 ft 6 in,India,-,9.0,6.0,2.0,100.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,12.0,0.66,0.0,33.33,0.0,0.0
180,Vishal Bhardwaj,Defender,"Jan 1, 1997",Telugu Titans,-,India,-,18.0,61.0,8.0,100.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,52.0,53.0,2.88,0.0,58.09,9.0,5.0
181,Armaan,All Rounder,"Jul 8, 1999",Telugu Titans,6 ft 2 in,India,71 kg,6.0,9.0,4.0,59.37,32.0,6.0,13.0,13.0,28.12,8.0,1.0,9.0,1.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
182,Farhad Rahimi,All Rounder,"Nov 13, 1988",Telugu Titans,6 ft,Iran,-,18.0,52.0,5.0,84.5,71.0,20.0,11.0,40.0,35.21,22.0,3.0,25.0,0.0,0.0,66.0,27.0,39.0,1.5,0.0,40.9,0.0,0.0
183,Fazel Atrachali,"Defender, left corner","Mar 29, 1992",U Mumba,6 ft,Iran,85 kg,19.0,62.0,6.0,92.3,13.0,1.0,1.0,11.0,15.38,1.0,1.0,2.0,0.0,0.0,104.0,57.0,47.0,3.0,0.0,57.69,3.0,2.0
184,Abhishek Singh,Raider,"Apr 3, 1999",U Mumba,5 ft 11 in,India,-,17.0,119.0,13.0,81.42,253.0,103.0,47.0,103.0,46.64,106.0,12.0,118.0,2.0,7.0,12.0,1.0,11.0,0.05,0.0,8.33,0.0,0.0
185,Arjun Deshwal,Raider,"Jul 7, 1999",U Mumba,5 ft 8 in,India,-,16.0,78.0,15.0,75.67,148.0,57.0,36.0,55.0,51.35,65.0,11.0,76.0,2.0,2.0,5.0,2.0,3.0,0.12,0.0,40.0,0.0,0.0
186,Athul MS,Raider,"Jul 12, 1996",U Mumba,6 ft,India,80 kg,15.0,51.0,9.0,65.81,117.0,36.0,40.0,41.0,43.58,35.0,16.0,51.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
187,Dong Geon,Raider,"Jul 1, 1996",U Mumba,6 ft 1 in,Korea,83 kg,5.0,11.0,6.0,72.41,29.0,8.0,8.0,13.0,37.93,6.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Gaurav Kumar,Raider,"May 1, 1997",U Mumba,6 ft 1 in,India,85 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Navneet,Raider,"Jan 1, 1970",U Mumba,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Rohit Baliyan,Raider,"May 10, 1992",U Mumba,6 ft,India,83 kg,16.0,48.0,9.0,79.69,133.0,31.0,27.0,75.0,33.08,26.0,18.0,44.0,2.0,0.0,13.0,3.0,10.0,0.18,0.0,30.76,1.0,0.0
191,Vinoth Kumar,Raider,"Mar 23, 1994",U Mumba,5 ft 9 in,India,71.7 kg,1.0,0.0,0.0,50.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
192,Rajaguru Subramanian,"Defender, right cover","Jun 22, 1986",U Mumba,5 ft 10 in,India,83.7 kg,5.0,2.0,2.0,100.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.4,0.0,33.33,0.0,0.0
193,Harsh Vardhan,"Defender, right corner","Aug 5, 1997",U Mumba,5 ft 6 in,India,80 kg,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
194,Anil,"Defender, left cover","Feb 28, 1997",U Mumba,5 ft 9 in,India,72 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Harendra Kumar,"Defender, left cover","Dec 26, 1999",U Mumba,-,India,-,17.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,18.0,39.0,1.05,0.0,33.33,1.0,1.0
196,Young Chang,"Defender, left cover","Sep 30, 1993",U Mumba,5 ft 5 in,Korea,73 kg,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,9.0,0.4,0.0,46.15,2.0,0.0
197,Surinder Singh,Defender,"Jul 23, 1998",U Mumba,5 ft 9 in,India,78 kg,19.0,49.0,9.0,71.42,7.0,1.0,2.0,4.0,57.14,4.0,0.0,4.0,1.0,0.0,103.0,43.0,60.0,2.26,0.0,43.68,2.0,2.0
198,Ajinkya Rohidas,All Rounder,"Sep 10, 1994",U Mumba,5 ft 8 in,India,-,2.0,1.0,1.0,60.0,5.0,1.0,2.0,2.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
199,Mohit Balyan,All Rounder,"Dec 17, 1999",U Mumba,5 ft 9 in,India,73 kg,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,200.0,1.0,0.0
200,Sandeep Narwal,All Rounder,"Apr 5, 1993",U Mumba,5 ft 11 in,India,80.2 kg,19.0,60.0,6.0,83.33,60.0,14.0,10.0,36.0,30.0,13.0,5.0,18.0,0.0,0.0,75.0,37.0,38.0,1.94,0.0,56.0,5.0,1.0
201,Nitesh Kumar,"Defender, right corner","Aug 12, 1997",U.P. Yoddha,5 ft 8 in,India,74 kg,18.0,51.0,7.0,0.0,2.0,0.0,2.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,85.0,44.0,41.0,2.44,0.0,58.82,6.0,3.0
202,Ankush,Raider,"Sep 7, 1999",U.P. Yoddha,6 ft,India,75 kg,3.0,7.0,4.0,66.66,6.0,4.0,2.0,0.0,100.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.33,0.0,100.0,0.0,0.0
203,Azad Singh,Raider,"Apr 7, 1997",U.P. Yoddha,6 ft,India,81 kg,4.0,6.0,3.0,65.38,26.0,3.0,9.0,14.0,23.07,3.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
204,Gulveer Singh,Raider,"Jul 25, 1998",U.P. Yoddha,5 ft 9 in,India,80 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Md. Masud,Raider,"Apr 5, 1988",U.P. Yoddha,5 ft 11 in,Bangladesh,79 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Monu Goyat,Raider,"Oct 16, 1992",U.P. Yoddha,5 ft 10 in,India,80 kg,10.0,46.0,10.0,73.45,113.0,38.0,30.0,45.0,38.05,30.0,13.0,43.0,0.0,1.0,11.0,2.0,9.0,0.2,0.0,27.27,1.0,0.0
207,Rishank Devadiga,Raider,"Feb 3, 1992",U.P. Yoddha,6 ft,India,83.7 kg,14.0,47.0,9.0,84.49,129.0,35.0,20.0,74.0,35.65,31.0,15.0,46.0,2.0,0.0,8.0,1.0,7.0,0.07,0.0,12.5,0.0,0.0
208,Shrikant Jadhav,Raider,"Sep 17, 1995",U.P. Yoddha,6 ft,India,79.1 kg,18.0,117.0,15.0,77.17,241.0,83.0,55.0,103.0,47.3,94.0,20.0,114.0,2.0,3.0,8.0,3.0,5.0,0.16,0.0,37.5,0.0,0.0
209,Surender Gill,Raider,"Oct 10, 1998",U.P. Yoddha,6 ft 3 in,India,80 kg,15.0,62.0,8.0,75.65,152.0,41.0,37.0,74.0,35.52,48.0,6.0,54.0,1.0,0.0,14.0,7.0,7.0,0.46,0.0,57.14,1.0,0.0
210,Surender Singh,Raider,"Sep 15, 1990",U.P. Yoddha,5 ft 11 in,India,82.4 kg,4.0,11.0,5.0,52.17,23.0,5.0,11.0,7.0,43.47,4.0,6.0,10.0,0.0,0.0,4.0,1.0,3.0,0.25,0.0,25.0,0.0,0.0
211,Ashu Singh,"Defender, right cover","Oct 7, 1998",U.P. Yoddha,-,India,-,18.0,32.0,4.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,30.0,49.0,1.66,0.0,40.5,2.0,0.0
212,Aashish Nagar,"Defender, right corner","Jan 1, 1970",U.P. Yoddha,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Amit,"Defender, left cover","Jul 27, 1996",U.P. Yoddha,5 ft 7 in,India,-,18.0,25.0,4.0,100.0,14.0,1.0,0.0,13.0,14.28,2.0,0.0,2.0,0.0,0.0,64.0,21.0,43.0,1.16,0.0,35.93,2.0,0.0
214,Sumit,"Defender, left corner","Mar 24, 1999",U.P. Yoddha,6 ft,India,72 kg,18.0,63.0,6.0,85.71,7.0,1.0,1.0,5.0,28.57,1.0,1.0,2.0,0.0,0.0,111.0,60.0,51.0,3.33,0.0,54.95,1.0,5.0
215,Arkam Shaikh,All Rounder,"Nov 3, 1998",U.P. Yoddha,5 ft 10 in,India,79 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Gurdeep,All Rounder,"Jul 26, 1999",U.P. Yoddha,5 ft 11 in,India,-,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,66.66,0.0,0.0
217,Mohsen Maghsoudloujafari,All Rounder,"Mar 17, 1995",U.P. Yoddha,5 ft 10 in,Iran,78 kg,11.0,8.0,2.0,65.51,29.0,4.0,10.0,15.0,17.24,2.0,3.0,5.0,0.0,0.0,8.0,2.0,6.0,0.18,0.0,37.5,1.0,0.0
218,Narender,All Rounder,"Sep 10, 1986",U.P. Yoddha,5 ft 8 in,India,78 kg,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
219,Sachin Kumar,All Rounder,"Aug 1, 1992",U.P. Yoddha,5 ft 7 in,India,-,12.0,4.0,2.0,92.85,14.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,8.0,0.25,0.0,36.36,1.0,0.0
