,Date,HomeTeam,AwayTeam,Total_Points_HomeTeam,Total_Points_AwayTeam,FirstHalf_Points_HomeTeam,FirstHalf_Points_AwayTeam,SecondHalf_Points_HomeTeam,SecondHalf_Points_AwayTeam
0,01.10. 01:00,Tamil Thalaivas,U Mumba,32,36,11,15,21,21
1,01.10. 00:00,Bengal Warriors,Dabang Delhi,42,33,25,14,17,19
2,30.09. 01:00,Haryana Steelers,Gujarat FortuneGiants,38,37,14,19,24,18
3,30.09. 00:00,Puneri Paltan,Dabang Delhi,40,60,16,30,24,30
4,29.09. 01:00,Gujarat FortuneGiants,Tamil Thalaivas,50,21,20,9,30,12
5,29.09. 00:00,Haryana Steelers,UP Yoddha,30,37,11,15,19,22
6,28.09. 01:00,Jaipur Pink Panthers,Telugu Titans,31,51,15,17,16,34
7,28.09. 00:00,U Mumba,Bengaluru Bulls,33,35,11,17,22,18
8,27.09. 00:00,Patna Pirates,Dabang Delhi,39,43,13,13,26,30
9,26.09. 01:00,Jaipur Pink Panthers,Puneri Paltan,43,34,20,13,23,21
10,26.09. 00:00,Telugu Titans,Bengal Warriors,39,40,13,19,26,21
11,24.09. 01:00,Dabang Delhi,Bengaluru Bulls,39,39,22,19,17,20
12,24.09. 00:00,Patna Pirates,Haryana Steelers,34,39,15,17,19,22
13,23.09. 01:00,Jaipur Pink Panthers,Bengal Warriors,40,41,14,13,26,28
14,23.09. 00:00,U Mumba,Gujarat FortuneGiants,31,25,16,16,15,9
15,22.09. 01:00,UP Yoddha,Tamil Thalaivas,42,22,13,14,29,8
16,22.09. 00:00,Jaipur Pink Panthers,Gujarat FortuneGiants,28,28,15,10,13,18
17,21.09. 01:00,Puneri Paltan,Bengaluru Bulls,42,38,20,15,22,23
18,21.09. 00:00,Telugu Titans,Patna Pirates,42,42,19,19,23,23
19,20.09. 00:00,Bengal Warriors,Haryana Steelers,48,36,30,14,18,22
20,19.09. 01:00,Puneri Paltan,Tamil Thalaivas,36,36,18,12,18,24
21,19.09. 00:00,U Mumba,UP Yoddha,39,36,15,16,24,20
22,17.09. 01:00,Telugu Titans,Dabang Delhi,29,37,15,18,14,19
23,17.09. 00:00,Jaipur Pink Panthers,UP Yoddha,32,38,13,20,19,18
24,16.09. 01:00,Puneri Paltan,Patna Pirates,33,55,17,27,16,28
25,16.09. 00:00,Dabang Delhi,Gujarat FortuneGiants,34,30,20,9,14,21
26,15.09. 01:00,Tamil Thalaivas,Haryana Steelers,35,43,14,16,21,27
27,15.09. 00:00,Puneri Paltan,Gujarat FortuneGiants,43,33,24,10,19,23
28,13.09. 01:00,Bengal Warriors,Bengaluru Bulls,42,40,16,15,26,25
29,13.09. 00:00,Jaipur Pink Panthers,Patna Pirates,33,36,15,14,18,22
30,12.09. 01:00,Bengal Warriors,U Mumba,29,26,16,13,13,13
31,12.09. 00:00,Haryana Steelers,Jaipur Pink Panthers,32,32,18,14,14,18
32,11.09. 00:00,Telugu Titans,U Mumba,27,41,15,15,12,26
33,10.09. 01:15,Tamil Thalaivas,Patna Pirates,25,51,13,18,12,33
34,10.09. 00:00,UP Yoddha,Gujarat FortuneGiants,33,26,16,9,17,17
35,09.09. 01:00,Bengal Warriors,Puneri Paltan,42,39,21,20,21,19
36,09.09. 00:00,Dabang Delhi,Tamil Thalaivas,50,34,24,12,26,22
37,08.09. 01:00,Dabang Delhi,Haryana Steelers,25,47,13,21,12,26
38,08.09. 00:00,Bengal Warriors,Gujarat FortuneGiants,25,25,15,13,10,12
39,07.09. 01:00,Bengaluru Bulls,Telugu Titans,40,39,15,12,25,27
40,07.09. 00:00,Patna Pirates,UP Yoddha,29,41,14,16,15,25
41,06.09. 00:00,Puneri Paltan,U Mumba,33,33,12,16,21,17
42,05.09. 01:00,Bengaluru Bulls,Patna Pirates,40,39,16,22,24,17
43,05.09. 00:00,Jaipur Pink Panthers,Dabang Delhi,44,46,19,21,25,25
44,03.09. 01:00,Telugu Titans,Tamil Thalaivas,35,30,18,14,17,16
45,03.09. 00:00,Puneri Paltan,Haryana Steelers,27,41,11,18,16,23
46,02.09. 01:00,Bengaluru Bulls,Tamil Thalaivas,33,27,14,13,19,14
47,02.09. 00:00,UP Yoddha,Bengal Warriors,32,29,12,13,20,16
48,01.09. 01:00,U Mumba,Jaipur Pink Panthers,47,21,23,7,24,14
49,01.09. 00:00,Bengaluru Bulls,Gujarat FortuneGiants,23,32,12,18,11,14
50,31.08. 01:00,Dabang Delhi,Patna Pirates,38,35,26,17,12,18
51,31.08. 00:00,Telugu Titans,Puneri Paltan,27,34,14,17,13,17
52,30.08. 00:00,Bengal Warriors,Tamil Thalaivas,35,26,15,14,20,12
53,29.08. 01:00,Dabang Delhi,U Mumba,40,24,14,11,26,13
54,29.08. 00:00,Gujarat FortuneGiants,Haryana Steelers,25,41,11,20,14,21
55,27.08. 01:00,UP Yoddha,Puneri Paltan,35,30,16,9,19,21
56,27.08. 00:00,Bengal Warriors,Haryana Steelers,33,36,17,18,16,18
57,26.08. 01:00,Dabang Delhi,UP Yoddha,36,27,15,11,21,16
58,26.08. 00:00,Jaipur Pink Panthers,Bengaluru Bulls,30,41,8,22,22,19
59,25.08. 01:00,Jaipur Pink Panthers,Telugu Titans,21,24,14,11,7,13
60,25.08. 00:00,Dabang Delhi,Bengaluru Bulls,33,31,11,19,22,12
61,24.08. 01:00,Tamil Thalaivas,U Mumba,24,29,12,10,12,19
62,24.08. 00:00,Gujarat FortuneGiants,Patna Pirates,29,26,11,15,18,11
63,23.08. 00:00,Bengal Warriors,Patna Pirates,35,26,15,14,20,12
64,22.08. 01:00,Tamil Thalaivas,Jaipur Pink Panthers,26,28,11,13,15,15
65,22.08. 00:00,Puneri Paltan,Bengaluru Bulls,31,23,10,10,21,13
66,20.08. 01:00,UP Yoddha,Jaipur Pink Panthers,31,24,16,10,15,14
67,20.08. 00:00,U Mumba,Haryana Steelers,27,30,8,16,19,14
68,19.08. 01:00,Tamil Thalaivas,Puneri Paltan,31,31,13,15,18,16
69,19.08. 00:00,Haryana Steelers,Telugu Titans,29,40,13,21,16,19
70,18.08. 01:00,Bengal Warriors,Dabang Delhi,30,30,11,18,19,12
71,18.08. 00:00,Tamil Thalaivas,Bengaluru Bulls,21,32,10,17,11,15
72,17.08. 01:00,Gujarat FortuneGiants,Jaipur Pink Panthers,19,22,9,10,10,12
73,17.08. 00:00,U Mumba,Patna Pirates,34,30,22,9,12,21
74,16.08. 00:00,Jaipur Pink Panthers,Puneri Paltan,33,25,17,11,16,14
75,15.08. 01:00,Gujarat FortuneGiants,Bengal Warriors,26,28,12,17,14,11
76,15.08. 00:00,UP Yoddha,Haryana Steelers,33,36,12,16,21,20
77,13.08. 01:00,UP Yoddha,Bengaluru Bulls,35,33,15,15,20,18
78,13.08. 00:00,Bengal Warriors,Telugu Titans,29,29,11,13,18,16
79,12.08. 01:00,Gujarat FortuneGiants,Telugu Titans,24,30,13,17,11,13
80,12.08. 00:00,Bengaluru Bulls,Haryana Steelers,30,33,17,16,13,17
81,11.08. 01:00,Puneri Paltan,Dabang Delhi,30,32,11,19,19,13
82,11.08. 00:00,Gujarat FortuneGiants,Tamil Thalaivas,28,34,10,15,18,19
83,10.08. 01:00,Patna Pirates,UP Yoddha,41,20,24,9,17,11
84,10.08. 00:00,Bengal Warriors,U Mumba,32,30,11,16,21,14
85,09.08. 00:00,Telugu Titans,Bengaluru Bulls,26,47,14,21,12,26
86,08.08. 01:00,Patna Pirates,Haryana Steelers,26,35,9,17,17,18
87,08.08. 00:00,UP Yoddha,Tamil Thalaivas,28,28,16,11,12,17
88,06.08. 01:00,Gujarat FortuneGiants,Puneri Paltan,31,33,17,14,14,19
89,06.08. 00:00,Dabang Delhi,Jaipur Pink Panthers,35,24,16,10,19,14
90,05.08. 01:00,Patna Pirates,Puneri Paltan,20,41,10,20,10,21
91,05.08. 00:00,Haryana Steelers,Tamil Thalaivas,28,35,19,10,9,25
92,04.08. 01:00,Bengal Warriors,Bengaluru Bulls,42,43,21,18,21,25
93,04.08. 00:00,Patna Pirates,Jaipur Pink Panthers,21,34,9,15,12,19
94,03.08. 01:00,U Mumba,Gujarat FortuneGiants,32,20,9,7,23,13
95,03.08. 00:00,Telugu Titans,UP Yoddha,20,20,11,11,9,9
96,02.08. 00:00,Gujarat FortuneGiants,Dabang Delhi,31,26,11,14,20,12
97,01.08. 01:00,U Mumba,UP Yoddha,23,27,12,14,11,13
98,01.08. 00:00,Haryana Steelers,Jaipur Pink Panthers,21,37,8,13,13,24
99,30.07. 01:00,Bengal Warriors,Puneri Paltan,43,23,18,9,25,14
100,30.07. 00:00,Tamil Thalaivas,Patna Pirates,23,24,11,11,12,13
101,29.07. 01:00,U Mumba,Bengaluru Bulls,26,30,11,13,15,17
102,29.07. 00:00,Dabang Delhi,Haryana Steelers,41,21,15,10,26,11
